image,class_id,class_name,confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_w,bbox_h
0000001_03499_d_0000006.jpg,0,pedestrian,0.2593,1018,2,1027,22,8,20
0000001_03499_d_0000006.jpg,9,motor,0.2582,630,430,680,460,50,29
0000001_03499_d_0000006.jpg,9,motor,0.2577,938,468,970,528,31,60
0000001_03499_d_0000006.jpg,3,car,0.2507,960,473,971,529,11,55
0000001_03999_d_0000007.jpg,3,car,0.6968,946,766,1017,885,70,119
0000001_03999_d_0000007.jpg,3,car,0.6745,974,948,1064,1080,89,131
0000001_03999_d_0000007.jpg,3,car,0.6415,893,93,925,133,31,40
0000001_03999_d_0000007.jpg,0,pedestrian,0.5726,1317,863,1337,908,19,45
0000001_03999_d_0000007.jpg,0,pedestrian,0.4785,1014,850,1035,900,21,50
0000001_03999_d_0000007.jpg,0,pedestrian,0.4305,996,470,1012,511,16,41
0000001_03999_d_0000007.jpg,0,pedestrian,0.408,995,694,1015,733,20,39
0000001_03999_d_0000007.jpg,1,people,0.4011,964,433,979,459,15,26
0000001_03999_d_0000007.jpg,9,motor,0.3953,837,468,883,499,45,30
0000001_03999_d_0000007.jpg,0,pedestrian,0.387,981,141,991,165,9,24
0000001_03999_d_0000007.jpg,0,pedestrian,0.3829,1343,864,1366,908,23,43
0000001_03999_d_0000007.jpg,0,pedestrian,0.3524,779,822,798,874,18,51
0000001_03999_d_0000007.jpg,0,pedestrian,0.349,1062,532,1080,572,17,40
0000001_03999_d_0000007.jpg,9,motor,0.3489,951,378,987,406,35,27
0000001_03999_d_0000007.jpg,0,pedestrian,0.3479,966,140,976,167,10,26
0000001_03999_d_0000007.jpg,0,pedestrian,0.3287,807,1020,834,1077,26,57
0000001_03999_d_0000007.jpg,1,people,0.3235,996,469,1012,506,16,36
0000001_03999_d_0000007.jpg,1,people,0.3137,953,179,964,199,11,20
0000001_03999_d_0000007.jpg,9,motor,0.3049,920,556,943,596,22,40
0000001_03999_d_0000007.jpg,9,motor,0.3023,1404,931,1457,970,52,38
0000001_03999_d_0000007.jpg,1,people,0.2972,920,555,943,591,22,36
0000001_03999_d_0000007.jpg,9,motor,0.2737,965,434,980,468,15,33
0000001_03999_d_0000007.jpg,9,motor,0.2669,953,183,965,207,11,23
0000001_03999_d_0000007.jpg,9,motor,0.2629,779,628,817,668,38,40
0000001_03999_d_0000007.jpg,0,pedestrian,0.2623,1033,553,1055,590,21,36
0000001_03999_d_0000007.jpg,9,motor,0.2587,1017,175,1042,196,24,21
0000001_03999_d_0000007.jpg,9,motor,0.254,1101,532,1125,575,23,42
0000001_03999_d_0000007.jpg,0,pedestrian,0.2523,964,433,980,468,16,35
0000001_04527_d_0000008.jpg,0,pedestrian,0.5789,840,539,854,578,13,38
0000001_04527_d_0000008.jpg,0,pedestrian,0.5625,970,390,983,426,12,35
0000001_04527_d_0000008.jpg,3,car,0.5258,917,25,953,54,36,28
0000001_04527_d_0000008.jpg,0,pedestrian,0.5035,943,155,953,181,9,25
0000001_04527_d_0000008.jpg,0,pedestrian,0.4897,854,641,871,688,16,46
0000001_04527_d_0000008.jpg,3,car,0.4876,960,195,986,236,26,40
0000001_04527_d_0000008.jpg,3,car,0.463,960,257,986,309,26,52
0000001_04527_d_0000008.jpg,0,pedestrian,0.4456,891,440,904,468,12,28
0000001_04527_d_0000008.jpg,0,pedestrian,0.4392,850,579,869,625,18,46
0000001_04527_d_0000008.jpg,0,pedestrian,0.3963,853,534,866,571,13,36
0000001_04527_d_0000008.jpg,3,car,0.3937,971,120,1030,155,59,34
0000001_04527_d_0000008.jpg,0,pedestrian,0.3896,1718,66,1728,92,10,25
0000001_04527_d_0000008.jpg,0,pedestrian,0.3874,1732,0,1742,15,9,15
0000001_04527_d_0000008.jpg,0,pedestrian,0.3869,1199,143,1211,170,12,26
0000001_04527_d_0000008.jpg,0,pedestrian,0.3858,974,107,983,129,9,22
0000001_04527_d_0000008.jpg,3,car,0.3781,1768,838,1811,885,43,47
0000001_04527_d_0000008.jpg,0,pedestrian,0.3731,899,631,916,676,16,44
0000001_04527_d_0000008.jpg,0,pedestrian,0.3602,1101,282,1112,313,11,30
0000001_04527_d_0000008.jpg,9,motor,0.3566,787,636,829,664,42,27
0000001_04527_d_0000008.jpg,0,pedestrian,0.3329,929,160,941,185,11,25
0000001_04527_d_0000008.jpg,3,car,0.3281,1823,845,1859,896,35,50
0000001_04527_d_0000008.jpg,9,motor,0.3266,1143,306,1185,332,41,26
0000001_04527_d_0000008.jpg,0,pedestrian,0.3234,840,636,857,681,16,45
0000001_04527_d_0000008.jpg,0,pedestrian,0.3227,1157,592,1173,627,16,35
0000001_04527_d_0000008.jpg,9,motor,0.3219,1270,573,1315,603,44,29
0000001_04527_d_0000008.jpg,9,motor,0.3124,1135,376,1177,401,42,24
0000001_04527_d_0000008.jpg,9,motor,0.3109,1517,565,1546,605,28,39
0000001_04527_d_0000008.jpg,9,motor,0.3081,1036,654,1084,684,47,30
0000001_04527_d_0000008.jpg,0,pedestrian,0.3035,868,252,880,280,12,28
0000001_04527_d_0000008.jpg,9,motor,0.2974,899,257,933,281,34,24
0000001_04527_d_0000008.jpg,0,pedestrian,0.2956,1216,892,1239,940,23,48
0000001_04527_d_0000008.jpg,0,pedestrian,0.2939,1028,1041,1060,1079,31,37
0000001_04527_d_0000008.jpg,9,motor,0.2928,1124,397,1168,423,43,26
0000001_04527_d_0000008.jpg,3,car,0.2923,1074,188,1144,225,70,36
0000001_04527_d_0000008.jpg,9,motor,0.2912,785,563,822,594,37,30
0000001_04527_d_0000008.jpg,9,motor,0.2868,1172,666,1223,696,50,29
0000001_04527_d_0000008.jpg,3,car,0.2821,1665,824,1700,860,34,35
0000001_04527_d_0000008.jpg,0,pedestrian,0.2817,874,1010,901,1079,26,69
0000001_04527_d_0000008.jpg,0,pedestrian,0.2769,879,248,891,275,12,26
0000001_04527_d_0000008.jpg,9,motor,0.2768,971,487,1012,514,41,26
0000001_04527_d_0000008.jpg,1,people,0.276,849,906,874,962,24,56
0000001_04527_d_0000008.jpg,0,pedestrian,0.2736,1708,66,1720,92,11,25
0000001_04527_d_0000008.jpg,3,car,0.273,1716,829,1754,867,37,38
0000001_04527_d_0000008.jpg,9,motor,0.271,1198,545,1245,573,46,28
0000001_04527_d_0000008.jpg,9,motor,0.27,1120,424,1160,446,39,21
0000001_04527_d_0000008.jpg,0,pedestrian,0.2664,1775,803,1791,820,15,16
0000001_04527_d_0000008.jpg,9,motor,0.2618,780,604,825,634,45,29
0000001_04527_d_0000008.jpg,9,motor,0.2561,1143,353,1177,374,33,20
0000001_04527_d_0000008.jpg,9,motor,0.254,1183,626,1229,653,46,26
0000001_04527_d_0000008.jpg,9,motor,0.2521,1141,335,1178,359,36,24
0000001_04527_d_0000008.jpg,9,motor,0.2516,1146,773,1204,812,57,39
0000001_04527_d_0000008.jpg,0,pedestrian,0.2506,791,990,818,1056,27,65
0000001_05249_d_0000009.jpg,3,car,0.7179,864,271,922,325,57,54
0000001_05249_d_0000009.jpg,3,car,0.71,1063,212,1111,252,47,40
0000001_05249_d_0000009.jpg,3,car,0.7004,1024,148,1067,183,43,35
0000001_05249_d_0000009.jpg,3,car,0.6967,1008,207,1061,249,52,41
0000001_05249_d_0000009.jpg,3,car,0.6949,849,186,899,231,50,44
0000001_05249_d_0000009.jpg,3,car,0.6874,509,203,575,256,66,53
0000001_05249_d_0000009.jpg,3,car,0.6813,756,163,815,201,58,37
0000001_05249_d_0000009.jpg,3,car,0.6758,1142,229,1190,271,47,41
0000001_05249_d_0000009.jpg,3,car,0.6731,981,140,1033,177,51,37
0000001_05249_d_0000009.jpg,3,car,0.6721,798,174,856,215,57,40
0000001_05249_d_0000009.jpg,3,car,0.6715,604,266,666,313,62,47
0000001_05249_d_0000009.jpg,3,car,0.6695,779,259,843,315,63,55
0000001_05249_d_0000009.jpg,3,car,0.6638,943,204,998,247,54,43
0000001_05249_d_0000009.jpg,3,car,0.6607,680,148,746,196,65,47
0000001_05249_d_0000009.jpg,3,car,0.6536,898,190,954,238,56,47
0000001_05249_d_0000009.jpg,3,car,0.6475,689,232,749,287,59,55
0000001_05249_d_0000009.jpg,3,car,0.6457,663,92,721,128,58,36
0000001_05249_d_0000009.jpg,3,car,0.6434,1105,119,1148,158,43,39
0000001_05249_d_0000009.jpg,3,car,0.6381,1113,59,1149,96,35,36
0000001_05249_d_0000009.jpg,3,car,0.6374,897,86,940,123,43,36
0000001_05249_d_0000009.jpg,3,car,0.6289,1192,130,1230,166,38,35
0000001_05249_d_0000009.jpg,3,car,0.626,654,283,708,336,54,52
0000001_05249_d_0000009.jpg,3,car,0.6231,894,119,946,160,52,41
0000001_05249_d_0000009.jpg,3,car,0.6216,1126,154,1170,191,44,36
0000001_05249_d_0000009.jpg,3,car,0.6166,784,103,834,143,49,39
0000001_05249_d_0000009.jpg,3,car,0.6131,741,98,790,140,48,42
0000001_05249_d_0000009.jpg,3,car,0.6111,837,114,890,147,53,33
0000001_05249_d_0000009.jpg,3,car,0.5995,739,500,817,575,77,74
0000001_05249_d_0000009.jpg,3,car,0.5984,599,142,662,181,62,39
0000001_05249_d_0000009.jpg,3,car,0.5875,1106,222,1148,266,41,43
0000001_05249_d_0000009.jpg,3,car,0.5869,447,248,524,295,76,46
0000001_05249_d_0000009.jpg,3,car,0.5865,767,402,836,470,69,68
0000001_05249_d_0000009.jpg,0,pedestrian,0.5656,718,189,729,219,10,29
0000001_05249_d_0000009.jpg,3,car,0.5572,501,125,560,166,59,40
0000001_05249_d_0000009.jpg,3,car,0.5533,602,225,661,270,58,44
0000001_05249_d_0000009.jpg,3,car,0.5285,1145,127,1192,166,47,39
0000001_05249_d_0000009.jpg,3,car,0.5264,861,28,905,55,43,26
0000001_05249_d_0000009.jpg,3,car,0.523,710,94,754,132,43,37
0000001_05249_d_0000009.jpg,3,car,0.5141,670,492,744,571,73,79
0000001_05249_d_0000009.jpg,3,car,0.5091,407,225,483,285,75,59
0000001_05249_d_0000009.jpg,3,car,0.5059,648,221,706,273,58,52
0000001_05249_d_0000009.jpg,3,car,0.5043,699,289,763,348,63,59
0000001_05249_d_0000009.jpg,3,car,0.4829,996,46,1036,79,40,32
0000001_05249_d_0000009.jpg,3,car,0.4811,895,32,935,59,40,27
0000001_05249_d_0000009.jpg,3,car,0.4794,496,258,560,303,64,44
0000001_05249_d_0000009.jpg,3,car,0.4787,833,21,872,48,39,26
0000001_05249_d_0000009.jpg,3,car,0.4775,916,38,959,68,42,30
0000001_05249_d_0000009.jpg,3,car,0.4747,950,41,1000,75,50,33
0000001_05249_d_0000009.jpg,3,car,0.4727,539,261,604,316,65,55
0000001_05249_d_0000009.jpg,3,car,0.4716,466,333,540,400,73,67
0000001_05249_d_0000009.jpg,3,car,0.4653,840,554,923,632,83,77
0000001_05249_d_0000009.jpg,3,car,0.4505,732,244,795,300,62,55
0000001_05249_d_0000009.jpg,3,car,0.4473,751,11,791,37,39,26
0000001_05249_d_0000009.jpg,3,car,0.4451,1063,106,1104,146,41,40
0000001_05249_d_0000009.jpg,3,car,0.4308,557,222,626,266,69,43
0000001_05249_d_0000009.jpg,3,car,0.4285,856,79,902,116,46,36
0000001_05249_d_0000009.jpg,3,car,0.4213,703,965,865,1073,162,108
0000001_05249_d_0000009.jpg,3,car,0.4161,840,9,891,33,51,23
0000001_05249_d_0000009.jpg,3,car,0.4123,1147,72,1189,103,42,30
0000001_05249_d_0000009.jpg,3,car,0.4009,1153,42,1217,73,64,30
0000001_05249_d_0000009.jpg,3,car,0.3926,1088,39,1139,61,50,22
0000001_05249_d_0000009.jpg,3,car,0.3661,1072,53,1119,87,46,34
0000001_05249_d_0000009.jpg,3,car,0.3618,528,353,606,419,77,66
0000001_05249_d_0000009.jpg,3,car,0.3594,943,92,987,129,43,36
0000001_05249_d_0000009.jpg,3,car,0.3526,921,126,975,176,53,49
0000001_05249_d_0000009.jpg,9,motor,0.3481,840,660,868,700,28,39
0000001_05249_d_0000009.jpg,0,pedestrian,0.3466,1256,983,1279,1042,23,59
0000001_05249_d_0000009.jpg,0,pedestrian,0.3376,1004,979,1027,1032,23,52
0000001_05249_d_0000009.jpg,3,car,0.3368,196,283,283,330,86,46
0000001_05249_d_0000009.jpg,3,car,0.3334,1189,75,1230,106,41,31
0000001_05249_d_0000009.jpg,3,car,0.3297,1044,45,1079,80,34,35
0000001_05249_d_0000009.jpg,0,pedestrian,0.3207,1524,538,1556,587,31,48
0000001_05249_d_0000009.jpg,1,people,0.3197,841,659,865,693,23,34
0000001_05249_d_0000009.jpg,3,car,0.29,911,269,971,331,60,62
0000001_05249_d_0000009.jpg,3,car,0.283,771,64,810,102,38,38
0000001_05249_d_0000009.jpg,3,car,0.2812,279,323,371,378,92,54
0000001_05249_d_0000009.jpg,3,car,0.2708,1218,53,1290,83,71,30
0000001_05249_d_0000009.jpg,9,motor,0.2707,230,222,255,247,25,25
0000001_05249_d_0000009.jpg,3,car,0.2703,781,17,833,48,52,30
0000001_05249_d_0000009.jpg,0,pedestrian,0.2648,161,256,177,282,15,25
0000001_05249_d_0000009.jpg,3,car,0.2639,665,44,720,77,54,32
0000001_05249_d_0000009.jpg,3,car,0.2623,1025,265,1093,311,68,46
0000001_05249_d_0000009.jpg,3,car,0.2609,48,334,175,395,126,60
0000001_05249_d_0000009.jpg,3,car,0.2603,793,509,881,590,87,81
0000001_05249_d_0000009.jpg,3,car,0.2551,826,72,863,106,36,34
0000001_05249_d_0000009.jpg,3,car,0.2517,703,382,779,448,75,65
